distance,angle,distance_result,angle_result,err
0.05,0,0.042924102395773,0.070060580968857,0.007075897604227
0.06,0,0.052280738949776,0.064453423023224,0.007719261050224
0.07,0,0.064153306186199,0.049337688833475,0.005846693813801
0.08,0,0.071651570498943,0.032515309751034,0.008348429501057
0.09,0,0.083636589348316,0.049998011440039,0.006363410651684
0.1,0,0.097369238734245,0.068856492638588,0.002630761265755
0.11,0,0.106531403958797,0.06010676920414,0.003468596041203
0.12,0,0.116827271878719,0.042819067835808,0.003172728121281
0.13,0,0.128798514604568,0.051464285701513,0.001201485395432
0.14,0,0.138422057032585,0.029009716585279,0.001577942967415
0.15,0,0.144360318779945,0.02272335998714,0.005639681220055
0.16,0,0.152496919035912,0.008425521664321,0.007503080964088
0.17,0,0.161239266395569,0.011235482059419,0.008760733604431
0.18,0,0.169782,0.003738,0.010218
0.19,0,0.181176,0.010093,0.008824
0.2,0,0.19452540576458,0.07098762691021,0.00547459423542
0.21,0,0.203378275036812,0,0.006621724963188
0.22,0,0.223863199353218,0.02757921256125,-0.003863199353218
0.23,0,0.226439774036407,0.030293760821223,0.003560225963593
0.24,0,0.234945237636566,0.014491738751531,0.005054762363434
0.25,0,0.248891532421112,0.031348612159491,0.001108467578888
0.26,0,0.258713603019714,0.050894349813461,0.001286396980286
0.27,0,0.270625948905945,0.001733100507408,-0.000625948905945
0.28,0,0.274720847606659,0.033734977245331,0.005279152393341
0.29,0,0.283335657604231,0.02265,0.006664342395769
0.3,0,0.309558123350143,0.060969576239586,-0.009558123350143
0,0.087,0.001230721361935,0,0.087
0,0.174,0,0,0.174
0,0.261,0,0.028517125174403,0.232482874825597
0,0.348,0.001422108733095,0.10106810182333,0.24693189817667
0,0.435,0.002239324618131,0.237051635980606,0.197948364019394
0,0.522,0.00218178355135,0.379288494586945,0.142711505413055
0,0.609,0.003632263047621,0.542056620121002,0.066943379878998
0,0.696,0.003650220809504,0.588231265544891,0.107768734455109
0,0.783,0.002854986349121,0.699994027614594,0.083005972385407
0,0.87,0.003609268693253,0.725045025348663,0.144954974651337
0,0.957,0.003522606799379,0.871676325798035,0.085323674201965
0,1.044,0.003534769639373,0.923171520233154,0.120828479766846
0,1.131,0.00696025043726,1.03831148147583,0.09268851852417
0,1.218,0.006309639196843,1.12842214107513,0.089577858924866
0,1.305,0.009518687613308,1.24015355110168,0.064846448898315
0,1.392,0.006681787315756,1.27570617198944,0.116293828010559
0,1.479,0.004824563860893,1.40455949306488,0.07444050693512
0,1.566,0.007317100185901,1.42907500267029,0.136924997329712
0,1.653,0.004686486441642,1.60458934307098,0.048410656929016
0,1.74,0.005465335678309,1.65352988243103,0.08647011756897
0,1.827,0.007835105992854,1.80117893218994,0.025821067810059
0,1.914,0.008974462747574,1.89321935176849,0.020780648231507
0,2.001,0.008307246491313,1.94770562648773,0.053294373512268
0,2.088,0.006814693566412,1.98038840293884,0.107611597061157
0,2.175,0.007026357576251,2.1069872379303,0.068012762069702
0,2.262,0.006800102535635,2.16123390197754,0.100766098022461
0,2.349,0.011800395324826,2.2270245552063,0.121975444793701
0,2.436,0.010314959101379,2.35675740242004,0.079242597579956
0,2.523,0.009156396612525,2.44598579406738,0.077014205932617
0,2.61,0.010784579440951,2.51420092582703,0.095799074172974
0,2.697,0.010255842469633,2.57013463973999,0.12686536026001
0,2.784,0.053713090717793,2.69593262672424,0.088067373275757
0,2.871,0.011727008968592,2.68507075309753,0.185929246902466
0,2.958,0.015709133818746,2.79207158088684,0.165928419113159
0,3.045,0.016527459025383,2.90552139282227,0.139478607177734
0,3.132,0.018681036308408,3.01723766326904,0.114762336730957
